¹,EC,Protein,R_1,R_2,R_3,R_4,R_5,R_6,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8
1,1.1.1.1,alcohol dehydrogenase,a primary alcohol,NAD+,NA,NA,NA,NA,an aldehyde,NADH,H+,NA,NA,NA,NA,NA
2,1.1.1.1,alcohol dehydrogenase,a secondary alcohol,NAD+,NA,NA,NA,NA,a ketone,NADH,H+,NA,NA,NA,NA,NA
3,1.1.1.2,alcohol dehydrogenase (NADP+),a primary alcohol,NADP+,NA,NA,NA,NA,an aldehyde,NADPH,H+,NA,NA,NA,NA,NA
4,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,(S)-R-CHOH-R',NAD+,NA,NA,NA,NA,R-CO-R',NADH,H+,NA,NA,NA,NA,NA
5,1.1.1.3,homoserine dehydrogenase,L-homoserine,NAD(P)+,NA,NA,NA,NA,L-aspartate 4-semialdehyde,NAD(P)H,H+,NA,NA,NA,NA,NA
6,1.1.1.B4,(R)-specific secondary alcohol dehydrogenase (NADH),(R)-R-CHOH-R',NAD+,NA,NA,NA,NA,R-CO-R',NADH,H+,NA,NA,NA,NA,NA
7,1.1.1.4,"(R,R)-butanediol dehydrogenase","(R,R)-butane-2,3-diol",NAD+,NA,NA,NA,NA,(R)-acetoin,NADH,H+,NA,NA,NA,NA,NA
8,1.1.1.6,glycerol dehydrogenase,glycerol,NAD+,NA,NA,NA,NA,glycerone,NADH,H+,NA,NA,NA,NA,NA
9,1.1.1.7,propanediol-phosphate dehydrogenase,"propane-1,2-diol 1-phosphate",NAD+,NA,NA,NA,NA,hydroxyacetone phosphate,NADH,H+,NA,NA,NA,NA,NA
10,1.1.1.8,glycerol-3-phosphate dehydrogenase (NAD+),sn-glycerol 3-phosphate,acceptor,NA,NA,NA,NA,glycerone phosphate,reduced acceptor,NA,NA,NA,NA,NA,NA
11,1.1.1.8,glycerol-3-phosphate dehydrogenase (NAD+),sn-glycerol 3-phosphate,NAD+,NA,NA,NA,NA,glycerone phosphate,NADH,H+,NA,NA,NA,NA,NA
12,1.1.1.9,D-xylulose reductase,xylitol,NAD+,NA,NA,NA,NA,D-xylulose,NADH,H+,NA,NA,NA,NA,NA
